phi,psi,omega,e2e,rgyr
-97.00180053710938,94.78166198730469,-173.53012084960938,4.7339653968811035,2.813951399095891
-95.04766845703125,45.29676055908203,-178.8161163330078,4.632400035858154,2.787382540306084
-82.81961822509766,46.065948486328125,-166.7349853515625,4.147871971130371,2.717163260680477
-75.68536376953125,106.47046661376953,172.75328063964844,5.181028366088867,2.86489576249051
-80.63372039794922,143.28363037109375,179.148193359375,5.414158344268799,2.887796984055559
-145.0021209716797,164.4874267578125,165.7206268310547,6.041593551635742,2.9414571821921434
-163.9823455810547,-179.2151641845703,160.7612762451172,5.977333068847656,2.923155834437179
-143.5119171142578,-173.51812744140625,176.0283660888672,6.057342529296875,2.94379663656873
-155.37998962402344,149.15802001953125,177.44761657714844,5.842015743255615,2.9415145977494457
-122.19474029541016,147.5990447998047,-176.9755401611328,5.595412731170654,2.8756219846969655
-99.4115982055664,159.2997283935547,169.14695739746094,5.822466850280762,2.9428265974157206
-103.62517547607422,150.51548767089844,-179.71934509277344,5.592586040496826,2.8804373607500207
-133.17889404296875,133.64341735839844,178.1262664794922,5.880117416381836,2.9546661245606187
-131.38739013671875,149.4836883544922,-166.96168518066406,5.5829010009765625,2.8294758504361455
-154.36383056640625,169.39578247070312,-178.2007293701172,6.025846481323242,2.946668472341792
-170.4085693359375,-167.15003967285156,172.92332458496094,6.077029705047607,2.947186611745102
-153.5775909423828,-175.60980224609375,-170.50341796875,5.8523783683776855,2.9124619069549698
-103.30477142333984,155.0242156982422,-176.17416381835938,5.792041301727295,2.9334289556213147
-86.80574035644531,94.78900909423828,-173.72244262695312,4.913350582122803,2.825361095867868
-72.34059143066406,44.76344299316406,-171.0435333251953,4.564322471618652,2.7827984529372127
-83.35987854003906,66.07666015625,-175.4000244140625,4.300156116485596,2.714161028445902
-91.24824523925781,112.76639556884766,178.3994903564453,5.317394733428955,2.8894310437317627
-96.4915771484375,138.79275512695312,-173.36451721191406,5.37245512008667,2.8706100783073425
-135.10072326660156,153.3753662109375,-177.7849578857422,5.880603313446045,2.9570124856796256
-176.0144500732422,-179.90008544921875,-177.90760803222656,5.983295917510986,2.9541123186083293
-148.6051483154297,-167.68942260742188,-177.63658142089844,6.082469463348389,2.9805186656206804
-161.99395751953125,142.71420288085938,-175.67515563964844,5.931797981262207,2.9702209041144196
-129.52674865722656,155.94772338867188,-171.1415252685547,5.628681659698486,2.868233297941514
-105.39109802246094,159.58538818359375,-174.01039123535156,5.933091163635254,2.9747169214240428
-101.6772232055664,140.4356689453125,-175.8993377685547,5.528139114379883,2.9133444488759856
-109.71271514892578,120.514404296875,178.17823791503906,5.564327716827393,2.9087886219759334
-106.87881469726562,124.3790512084961,-178.94686889648438,5.2448248863220215,2.8468490923738203
-83.79608154296875,132.01678466796875,-178.0212860107422,5.449344635009766,2.9043026661883635
-88.07209014892578,124.49835968017578,-177.27723693847656,5.239557266235352,2.8621960825785226
-88.13298797607422,98.0351791381836,-179.06582641601562,5.147312641143799,2.86068078748243
-78.606201171875,60.7111701965332,-178.2239532470703,4.526703834533691,2.779369805849323
-77.50653839111328,57.75815963745117,-171.08599853515625,4.28231143951416,2.7589357079639
-101.095458984375,95.95555877685547,178.80609130859375,5.008571147918701,2.8190159388286595
-81.14665222167969,136.3468017578125,-163.7423553466797,5.440083980560303,2.8644947015170983
-102.59539794921875,141.6558380126953,-177.15170288085938,5.565620422363281,2.9165931329086145
-118.64409637451172,136.9908447265625,-173.35289001464844,5.512164115905762,2.9139699119308857
-143.06747436523438,140.34521484375,174.9825439453125,5.762739181518555,2.934126017526791
-139.94671630859375,-163.2881317138672,167.6785430908203,6.102581977844238,2.9578232303027763
-154.8790740966797,-152.50228881835938,173.14227294921875,5.743799686431885,2.877072397796833
-150.27146911621094,174.8957061767578,171.2213592529297,6.07438850402832,2.987835816103602
-129.47869873046875,137.342041015625,172.6305389404297,5.499233722686768,2.9168767019502773
-101.06255340576172,142.5878143310547,162.13450622558594,5.679160118103027,2.9277269718544585
-76.60533142089844,146.349609375,172.68560791015625,5.325168609619141,2.861060080429031
-106.58204650878906,122.61781311035156,161.76148986816406,5.36258602142334,2.8917401536387306
-106.6022720336914,124.06668853759766,165.11842346191406,5.397415637969971,2.9224708702462467
-98.25211334228516,152.36459350585938,164.52407836914062,5.6069254875183105,2.8846798506782503
-99.4603042602539,164.94239807128906,164.85125732421875,5.599237442016602,2.8773999958634455
-127.5134506225586,138.8280792236328,160.72254943847656,5.695888042449951,2.9300075582749434
-147.6528778076172,150.76849365234375,165.97140502929688,5.929289817810059,2.9880215183470673
-143.0413360595703,-166.65008544921875,168.9553680419922,5.9134063720703125,2.9360851075218353
-173.09934997558594,-175.16455078125,174.256591796875,6.029306411743164,2.9437129946269285
-137.11660766601562,165.7532501220703,-174.2469024658203,5.902302265167236,2.9940898361382082
-134.39462280273438,135.97789001464844,178.65155029296875,5.693021774291992,2.8949140141888896
-113.76024627685547,135.78646850585938,-175.9469451904297,5.6147847175598145,2.874576703298162
-85.840087890625,147.8312225341797,-173.53741455078125,5.589573860168457,2.8872004438034544
-105.48309326171875,148.1982879638672,-169.13534545898438,5.700965881347656,2.941176454676664
-120.2433853149414,149.9687042236328,-161.76666259765625,5.766313552856445,2.940120981306932
-146.6548614501953,147.2067413330078,-162.56423950195312,5.783141136169434,2.9133614708658153
-152.4381103515625,-179.70376586914062,-173.48924255371094,5.990681171417236,2.973130785801052
-167.30789184570312,-159.12326049804688,-166.6210479736328,5.934484004974365,2.9637397211947563
-156.41168212890625,172.52993774414062,-169.36288452148438,5.8799920082092285,2.919320554626682
-151.94638061523438,132.59716796875,-167.93983459472656,5.849839687347412,2.97573145536097
-124.17237091064453,149.36788940429688,-177.2493438720703,5.7530317306518555,2.9085508842347125
-96.70059204101562,159.07054138183594,-170.4721221923828,5.791958332061768,2.9139553927123405
-100.79525756835938,134.060546875,174.195556640625,5.5484418869018555,2.9097093444982143
-99.38938903808594,109.71207427978516,178.07867431640625,4.9959235191345215,2.8235553512469695
-82.5046615600586,76.02733612060547,175.72549438476562,4.5941081047058105,2.820142561692688
-89.92244720458984,45.83012390136719,-174.8254852294922,4.297611713409424,2.73349214643662
-70.4490966796875,86.38002014160156,166.20916748046875,4.962019443511963,2.8575161132746545
-85.7726821899414,141.2965850830078,-179.32650756835938,5.308804988861084,2.8276743278302474
-152.45703125,158.5496368408203,170.2247314453125,5.935888290405273,2.944858682559323
179.0894775390625,-163.9317169189453,-171.7760467529297,5.8340535163879395,2.90172713457823
-138.82237243652344,-142.38221740722656,-167.360595703125,5.8817877769470215,2.9367397364890775
-135.4239501953125,170.9272918701172,-168.97726440429688,6.081524848937988,2.9765288292580796
-145.98031616210938,139.8301544189453,-165.75682067871094,5.7199506759643555,2.911214606017342
-106.47598266601562,159.8816375732422,-168.68214416503906,5.806178569793701,2.918678059135976
-83.62846374511719,167.3177490234375,176.0144500732422,5.531825542449951,2.896615534197854
-145.97787475585938,109.74919891357422,164.37249755859375,5.517521858215332,2.925625024276087
-120.68014526367188,124.0232925415039,177.5979461669922,5.0965399742126465,2.858318438753613
-79.25154113769531,148.60464477539062,160.72799682617188,5.625301837921143,2.914024417859865
-78.69131469726562,140.64205932617188,-174.35072326660156,5.2539753913879395,2.848615358069558
-158.3982696533203,96.32054901123047,170.86474609375,5.51392126083374,2.9236928489573573
-126.80767059326172,122.61006927490234,-178.67803955078125,5.236238479614258,2.8705720237547716
-82.05635833740234,158.7518768310547,164.0821075439453,5.661404609680176,2.867299982698846
-106.86203002929688,162.10963439941406,173.3101806640625,5.592799186706543,2.891333101038861
-160.36964416503906,152.79505920410156,166.15476989746094,6.004068851470947,2.985717181118596
-131.35885620117188,-169.70480346679688,179.24282836914062,5.937521934509277,2.9412256222458106
-137.63241577148438,-172.1825408935547,176.6903076171875,5.921130180358887,2.9090259826524076
-149.732666015625,154.19720458984375,169.41981506347656,5.929454326629639,2.956396363444162
-100.95343017578125,171.06846618652344,166.5856170654297,5.693861484527588,2.9104111341629606
-93.48008728027344,135.00306701660156,174.92453002929688,5.582721710205078,2.931779437786992
-88.86995697021484,90.08158111572266,-177.33712768554688,4.74443244934082,2.774471888171944
-86.67366790771484,51.879974365234375,-178.7383575439453,4.798351764678955,2.849897114480003
-74.98876953125,67.61964416503906,168.0869140625,4.3123369216918945,2.775207001934567
-104.86051177978516,101.55265045166016,-178.8339080810547,5.063349723815918,2.8548107909650655
-94.0955581665039,105.34038543701172,178.30963134765625,4.8717427253723145,2.8110710444267735
-85.11072540283203,70.3095932006836,-170.5577392578125,4.65647029876709,2.79961054186541
-99.05852508544922,57.68372344970703,163.110595703125,4.531814098358154,2.805788111593125
-72.82313537597656,78.76274871826172,168.57894897460938,4.664278507232666,2.8111607300962027
-99.38931274414062,90.06283569335938,175.63446044921875,4.859570026397705,2.815324571039105
-58.07693099975586,96.20128631591797,168.64210510253906,4.832329273223877,2.8006790972479725
-97.9123306274414,84.88170623779297,170.8836669921875,4.7932233810424805,2.8431721499411524
-104.83383178710938,77.27095794677734,170.16920471191406,4.626882076263428,2.7855647501410443
-83.50688934326172,76.11951446533203,175.4209442138672,4.773073673248291,2.8291591284457343
-110.11260223388672,86.21595001220703,176.34255981445312,4.4767584800720215,2.753145169050503
-73.86963653564453,86.22984313964844,161.33889770507812,4.79036808013916,2.8538835364409207
-94.59117889404297,89.4954605102539,173.4681396484375,4.472724914550781,2.748074827121684
-61.56267166137695,65.35417938232422,166.8247528076172,4.74034309387207,2.8657657253291995
-102.76688385009766,88.27941131591797,177.91334533691406,4.673411846160889,2.7538644419779423
-101.11571502685547,101.06595611572266,175.85675048828125,5.23716402053833,2.9160633734787953
-67.30130767822266,112.0417709350586,-179.0452880859375,4.995157718658447,2.7801043729480885
-102.65290069580078,61.9566764831543,-172.09552001953125,4.7281718254089355,2.8332463351406125
-97.35939025878906,60.2807731628418,-166.40957641601562,4.712666988372803,2.8034152567193624
-83.84111785888672,110.97721862792969,-167.38687133789062,4.9064741134643555,2.759162456504037
-104.22223663330078,120.56392669677734,-171.41104125976562,5.381004333496094,2.9210529719566742
-115.07156372070312,142.84535217285156,-165.61456298828125,5.5705246925354,2.898022532932576
-139.30992126464844,172.5107421875,-167.705322265625,6.01570463180542,2.957955011003984
-176.71385192871094,-169.93402099609375,-176.064453125,5.868305206298828,2.895701786078048
-124.44599914550781,-169.54539489746094,-173.13876342773438,6.165369033813477,3.00341209805366
-137.60983276367188,130.58709716796875,-173.9042510986328,5.699584007263184,2.9628031327908753
-129.67642211914062,130.7740936279297,-160.75978088378906,5.665355682373047,2.909331626036108
-104.30216979980469,168.24481201171875,-175.3801727294922,5.736958026885986,2.8535001297530567
-102.00875091552734,168.2648468017578,-173.58145141601562,5.927849769592285,2.9801309540272944
-150.94595336914062,129.6724090576172,170.498779296875,5.70570707321167,2.9331655491114574
-125.8785629272461,-179.38328552246094,179.63172912597656,5.906989574432373,2.9436207501240848
-126.16683959960938,-179.30943298339844,169.78619384765625,6.031546115875244,2.9650803660148055
-161.2883758544922,138.61273193359375,168.5743408203125,5.734167575836182,2.907287591424167
-99.78181457519531,164.12774658203125,-176.03189086914062,5.785731315612793,2.918445642429858
-77.05220031738281,159.30319213867188,174.99795532226562,5.853574752807617,2.967071964268611
-128.32334899902344,114.09503173828125,-176.18299865722656,5.279923439025879,2.8351157526651884
-128.88034057617188,81.55210876464844,-170.09046936035156,5.064855098724365,2.837323009637324
-60.58941650390625,79.6573257446289,-172.40924072265625,4.644781112670898,2.7996002605504753
-94.1434555053711,82.10945892333984,-174.7790985107422,4.908560276031494,2.8296089513422134
-63.24801254272461,65.06058502197266,-173.84719848632812,4.6565141677856445,2.793221167273047
-103.62892150878906,77.86666870117188,-163.76458740234375,4.723780155181885,2.7951280243878625
-86.20691680908203,76.18650817871094,-176.33316040039062,4.746560096740723,2.797388528513098
-86.73063659667969,72.00851440429688,-167.80775451660156,4.467057704925537,2.7229090720378992
