phi,psi,omega,e2e,rgyr
-76.60128784179688,41.857608795166016,165.8885955810547,4.44952392578125,2.812896269037621
-82.83228302001953,79.12456512451172,163.00282287597656,4.558769226074219,2.7554893247662786
-92.22451782226562,102.75955200195312,169.96563720703125,5.017990589141846,2.859513379390327
-77.36155700683594,85.8482666015625,164.8146209716797,4.478214740753174,2.771046579654976
-72.90923309326172,37.59540939331055,168.31149291992188,4.461291313171387,2.820771478997834
-90.15460205078125,68.84305572509766,162.76043701171875,4.620696544647217,2.807486456319028
-102.34261322021484,144.0558319091797,158.22377014160156,5.416977882385254,2.8953822474642457
-114.36238098144531,-168.0905303955078,162.29722595214844,5.988200664520264,2.9563964807459753
-175.18150329589844,-163.1735382080078,169.36647033691406,6.0289154052734375,2.9247024349205604
-141.45205688476562,-179.16384887695312,-179.17254638671875,5.817042827606201,2.9141086739273825
-105.70683288574219,131.37075805664062,173.40185546875,5.579430103302002,2.935830798603241
-76.18156433105469,79.87767791748047,-175.6971893310547,4.688629627227783,2.7928942496421074
-84.74269104003906,28.624977111816406,179.59861755371094,4.242290496826172,2.758124841474307
-86.7382583618164,71.81285095214844,177.1658477783203,4.70306396484375,2.8050859853583643
-90.16732025146484,132.7322998046875,-175.0003662109375,5.450539588928223,2.857861000073068
-140.6644744873047,159.6846160888672,-171.9619140625,5.989149570465088,2.95703746565487
-171.6044158935547,-166.288330078125,172.30223083496094,5.917243003845215,2.928331599113717
-141.84024047851562,-133.5698699951172,-176.48622131347656,5.89863395690918,2.9438156029320264
-163.04200744628906,-156.0352020263672,177.42813110351562,5.952006816864014,2.928879978671976
-143.5575714111328,153.69395446777344,-169.57937622070312,5.819728851318359,2.9374689510040053
-79.30209350585938,125.22367095947266,-178.0124969482422,5.342777252197266,2.8981070148974117
-83.62612915039062,78.2093734741211,-172.2338409423828,4.742295265197754,2.833160775925771
-92.3917007446289,24.800382614135742,-177.5330047607422,4.413640022277832,2.7703456627684235
-67.84428405761719,32.468997955322266,174.5296173095703,4.371364116668701,2.8025589780206395
-80.03742980957031,120.83963012695312,173.8391876220703,5.064213752746582,2.8115663153869477
-112.77423858642578,166.89952087402344,170.54745483398438,5.732661247253418,2.8966898810464117
-156.41551208496094,174.1552734375,171.2473602294922,6.113874435424805,2.9946589464374114
-134.6370086669922,-166.65467834472656,-173.29904174804688,5.887226581573486,2.9159225637627
-97.90184020996094,173.5521240234375,-176.76541137695312,5.82226037979126,2.9172998046655825
-95.2433853149414,109.97412109375,-177.75245666503906,5.223781108856201,2.8797363349365077
-64.5692367553711,40.51801681518555,-174.53732299804688,4.416138648986816,2.7493778502314656
-87.88774108886719,58.74448013305664,-172.3511505126953,4.563167095184326,2.7850404496677443
-73.04657745361328,102.85498809814453,179.39476013183594,5.003406524658203,2.8445325569271174
-95.04766082763672,123.88069152832031,-167.57891845703125,5.2808966636657715,2.8290657230084295
-129.6896209716797,142.5226287841797,172.7504119873047,5.7473859786987305,2.943825027166481
-152.7244110107422,178.53155517578125,172.63047790527344,6.026072025299072,2.9741509912703306
-178.0499725341797,-159.58168029785156,178.23683166503906,5.986169338226318,2.927010732651518
-114.32978057861328,176.27198791503906,-178.67965698242188,5.852969169616699,2.9702324629208845
-124.6009750366211,112.15107727050781,171.99435424804688,5.302586555480957,2.822817717409797
-72.71605682373047,70.41246795654297,176.07945251464844,4.501953601837158,2.8011024187448585
-87.24030303955078,63.184654235839844,-174.0403594970703,4.791114330291748,2.815243640853951
-82.30841827392578,85.78010559082031,-165.08203125,4.8072919845581055,2.8065734689212065
-81.07947540283203,95.97782897949219,-165.1310577392578,4.914203643798828,2.8202352789415723
-98.1870346069336,73.79374694824219,-174.75247192382812,4.98357629776001,2.8331506163624045
-62.13089370727539,61.41603469848633,-162.4002227783203,4.093310356140137,2.7010594713638683
-107.45862579345703,98.04330444335938,170.9765167236328,5.345844268798828,2.881265078809636
-71.7177734375,149.5014190673828,179.84921264648438,5.198493003845215,2.84507965800381
-107.88002014160156,159.59571838378906,167.43202209472656,5.953109264373779,2.945294014252032
-139.99163818359375,154.4392852783203,-173.80294799804688,5.47656774520874,2.850227957678703
-148.79214477539062,156.21900939941406,164.44729614257812,6.057846546173096,2.9698025384468
-101.33759307861328,-157.64898681640625,168.6295166015625,5.664978981018066,2.866173868115366
-117.94446563720703,-158.98255920410156,170.40492248535156,6.089520454406738,2.9678234059733017
-164.81918334960938,134.83631896972656,178.82101440429688,5.666992664337158,2.9415010397620405
-108.19135284423828,118.24734497070312,-171.05123901367188,5.427218437194824,2.928425272598368
-66.8524398803711,121.62511444091797,-166.756591796875,5.3862810134887695,2.869114698444806
-116.5115737915039,89.30168151855469,-156.6509246826172,4.982604503631592,2.80036890151147
-117.86143493652344,49.785926818847656,-172.8212127685547,4.696685791015625,2.808854887144052
-66.05791473388672,59.10465621948242,-171.32012939453125,4.536783218383789,2.755537526608352
-94.00902557373047,96.22203063964844,-171.53439331054688,5.126734256744385,2.840631289684506
-68.61836242675781,98.7710952758789,-177.0259246826172,4.878793716430664,2.806324353404152
-107.85153198242188,57.34724807739258,-170.43885803222656,4.647617816925049,2.784162202675997
-83.25216674804688,40.724334716796875,-161.93275451660156,4.174814224243164,2.6758822092350476
-90.94368743896484,123.80546569824219,-172.6508026123047,5.356896877288818,2.88328101464315
-97.54313659667969,-176.84646606445312,-159.12631225585938,5.790234088897705,2.9095281792504215
-138.4900665283203,-178.86978149414062,-170.76580810546875,5.935773849487305,2.9493396272639703
-159.9119110107422,164.00978088378906,179.6459197998047,6.006046295166016,2.9598745449764063
-85.09278869628906,164.31314086914062,-175.26551818847656,5.729436874389648,2.9120569172650077
-89.04708862304688,106.30305480957031,174.7204132080078,4.938149929046631,2.8219690465237837
-76.93389892578125,21.09294319152832,179.34889221191406,4.2066144943237305,2.7291780463181534
-86.8285140991211,10.50899600982666,168.80966186523438,4.483760356903076,2.7771475814959374
-111.84122467041016,36.98389434814453,173.63543701171875,4.370980262756348,2.7497378137621764
-74.57109832763672,114.98087310791016,179.60244750976562,5.00477933883667,2.8244955089624675
-94.65279388427734,146.87063598632812,165.16769409179688,5.50087308883667,2.901528021072132
-158.24903869628906,164.7392578125,-168.53086853027344,5.982974529266357,2.9626324716558035
-157.3510284423828,-147.545654296875,-173.95960998535156,6.072202205657959,2.982165761257909
-124.35916137695312,-122.71385192871094,162.76979064941406,5.734902381896973,2.876499192244447
-149.148681640625,-137.082763671875,176.63153076171875,6.028138160705566,2.9497218631295086
